unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,city,status,due_date,resolution_action_updated_date,community_board,council_district,police_precinct,borough,open_data_channel_type,latitude,longitude,valid_latitude,valid_longitude,has_valid_coordinates,valid_zip_format,borough_raw,status_raw,created_year,created_month_number,created_month_name,created_day_name,created_hour,created_date_only,is_closed,invalid_date_sequence,resolution_hours,resolution_days,sla_evaluable,sla_met
63572086,2025-01-01 00:51:02,2025-03-02 00:51:37,DOHMH,Department of Health and Mental Hygiene,Smoking or Vaping,Allowed in Smoke Free Area,Residential Building,10475,BRONX,Closed,,2025-03-02 00:51:40,10 BRONX,12,Precinct 45,Bronx,Online,40.87518936518711,-73.82899057253027,True,True,True,True,BRONX,Closed,2025,1,January,Wednesday,0,2025-01-01,True,False,1440.0097222222223,60.000405092592594,False,
63572092,2025-01-01 00:54:26,2025-01-01 01:47:36,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11373,ELMHURST,Closed,,2025-01-01 01:47:39,04 QUEENS,25,Precinct 110,Queens,Mobile,40.74372457856198,-73.87311388337658,True,True,True,True,QUEENS,Closed,2025,1,January,Wednesday,0,2025-01-01,True,False,0.8861111111111111,0.03692129629629629,False,
63572113,2025-01-01 01:14:30,2025-01-01 04:38:47,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11208,BROOKLYN,Closed,,2025-01-01 04:38:53,05 BROOKLYN,42,Precinct 75,Brooklyn,Mobile,40.67321957623109,-73.87800662913914,True,True,True,True,BROOKLYN,Closed,2025,1,January,Wednesday,1,2025-01-01,True,False,3.4047222222222224,0.14186342592592593,False,
63572115,2025-01-01 01:20:52,2025-01-01 02:21:14,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11420,SOUTH OZONE PARK,Closed,,2025-01-01 02:21:17,10 QUEENS,28,Precinct 106,Queens,Online,40.68528094395994,-73.8114817389467,True,True,True,True,QUEENS,Closed,2025,1,January,Wednesday,1,2025-01-01,True,False,1.0061111111111112,0.0419212962962963,False,
63572131,2025-01-01 01:12:27,2025-01-01 04:37:23,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11207,BROOKLYN,Closed,,2025-01-01 04:37:27,05 BROOKLYN,37,Precinct 75,Brooklyn,Mobile,40.67961711979871,-73.89115806932413,True,True,True,True,BROOKLYN,Closed,2025,1,January,Wednesday,1,2025-01-01,True,False,3.4155555555555557,0.1423148148148148,False,
63572219,2025-01-01 00:07:36,2025-01-01 01:33:12,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11436,JAMAICA,Closed,,2025-01-01 01:33:15,12 QUEENS,28,Precinct 113,Queens,Phone,40.68090238132234,-73.79505336372328,True,True,True,True,QUEENS,Closed,2025,1,January,Wednesday,0,2025-01-01,True,False,1.4266666666666667,0.059444444444444446,False,
63572256,2025-01-01 00:19:00,2025-01-01 00:19:00,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11360,QUEENS,Closed,,2025-01-01 00:19:00,11 QUEENS,19,Precinct 111,Queens,Unknown,40.77489949220217,-73.78894030936333,True,True,True,True,QUEENS,Closed,2025,1,January,Wednesday,0,2025-01-01,True,False,0.0,0.0,False,
63572310,2025-01-01 00:11:45,2025-01-01 01:21:57,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11377,WOODSIDE,Closed,,2025-01-01 01:22:00,02 QUEENS,26,Precinct 108,Queens,Online,40.7368217792085,-73.90467568895188,True,True,True,True,QUEENS,Closed,2025,1,January,Wednesday,0,2025-01-01,True,False,1.17,0.048749999999999995,False,
63572311,2025-01-01 00:14:54,2025-01-01 01:19:02,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11223,BROOKLYN,Closed,,2025-01-01 01:19:04,11 BROOKLYN,43,Precinct 62,Brooklyn,Online,40.600453079265655,-73.98481066562013,True,True,True,True,BROOKLYN,Closed,2025,1,January,Wednesday,0,2025-01-01,True,False,1.068888888888889,0.04453703703703704,False,
63572312,2025-01-01 00:17:41,2025-01-01 00:30:38,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11226,BROOKLYN,Closed,,2025-01-01 00:30:39,14 BROOKLYN,45,Precinct 70,Brooklyn,Online,40.63877689410836,-73.95655329821471,True,True,True,True,BROOKLYN,Closed,2025,1,January,Wednesday,0,2025-01-01,True,False,0.21583333333333332,0.008993055555555554,False,
