unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,city,status,borough,open_data_channel_type,latitude,longitude
63577994,2025-01-01T00:00:12.000,2025-01-02T17:05:54.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,BRONX,Closed,BRONX,MOBILE,40.89187241649303,-73.86016845296459
63584096,2025-01-01T00:00:13.000,2025-01-01T00:05:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11211,BROOKLYN,Closed,BROOKLYN,MOBILE,40.71120965026345,-73.95897331500413
63581480,2025-01-01T00:00:17.000,2025-01-01T09:01:06.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,BRONX,Closed,BRONX,MOBILE,40.89187241649303,-73.86016845296459
63575612,2025-01-01T00:00:19.000,2025-01-01T00:43:08.000,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11230,BROOKLYN,Closed,BROOKLYN,ONLINE,40.62923998368745,-73.96879043074365
63586536,2025-01-01T00:00:34.000,2025-01-02T12:04:30.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10466,BRONX,Closed,BRONX,ONLINE,40.89194007532644,-73.85277542800861
63593943,2025-01-01T00:00:37.000,2025-01-01T22:50:30.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10034,NEW YORK,Closed,MANHATTAN,PHONE,40.86888690644382,-73.92284645791617
63572426,2025-01-01T00:00:42.000,2025-01-01T00:41:12.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11212,BROOKLYN,Closed,BROOKLYN,PHONE,40.66660906402502,-73.92068694989489
63575947,2025-01-01T00:00:50.000,2025-01-01T01:46:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11234,BROOKLYN,Closed,BROOKLYN,PHONE,40.631286766133385,-73.92527918930374
63581601,2025-01-01T00:00:50.000,2025-01-02T17:09:55.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,BRONX,Closed,BRONX,MOBILE,40.89187241649303,-73.86016845296459
63576541,2025-01-01T00:01:03.000,2025-01-01T08:38:08.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,BRONX,Closed,BRONX,MOBILE,40.89187241649303,-73.86016845296459
