,data_type,row_count,non_null_count,null_count,null_percentage,unique_count
due_date,str,348180,1313,346867,99.62,791
location_type,str,348180,313921,34259,9.84,109
city,str,348180,338906,9274,2.66,62
council_district,str,348180,343830,4350,1.25,51
longitude,str,348180,345075,3105,0.89,107962
latitude,str,348180,345075,3105,0.89,107965
closed_date,str,348180,345552,2628,0.75,201558
incident_zip,str,348180,345845,2335,0.67,238
descriptor,str,348180,346641,1539,0.44,753
resolution_action_updated_date,str,348180,347486,694,0.2,168580
unique_key,str,348180,348180,0,0.0,348180
created_date,str,348180,348180,0,0.0,286116
agency,str,348180,348180,0,0.0,14
status,str,348180,348180,0,0.0,7
complaint_type,str,348180,348180,0,0.0,166
agency_name,str,348180,348180,0,0.0,14
borough,str,348180,348180,0,0.0,6
police_precinct,str,348180,348180,0,0.0,78
community_board,str,348180,348180,0,0.0,77
open_data_channel_type,str,348180,348180,0,0.0,4
